Strain,tokens
100-Og,"['100', 'og', 'hybrid', 'creative', 'energetic', 'tingly', 'euphoric', 'relaxed', 'earthy', 'sweet', 'citrus', '100', 'og', '50/50', 'hybrid', 'strong', 'punch', 'strength', 'high', 'hollywood', 'plant', '100', 'og', 'large', 'dark', 'green', 'strong', 'body', 'indica', 'pain', 'relief', 'alert', 'cerebral', 'feeling', 'thanks', 'sativa']"
98-White-Widow,"['98', 'white', 'widow', 'hybrid', 'relaxed', 'aroused', 'creative', 'happy', 'energetic', 'flowery', 'violet', 'diesel', '98', 'aloha', 'white', 'widow', 'potent', 'cut', 'white', 'widow', 'grown', 'renown', 'alongside', 'hawaiian', 'legends', 'maui', 'wowie', 'kona', 'gold', 'white', 'widow', 'phenotype', 'reeks', 'diesel', 'skunk', 'rich', 'earthy', 'taste', 'notes', 'hash', 'coated', 'trichomes', 'giving', 'dark', 'foliage', 'lustrous', 'glint', 'room', 'filling', 'odor', 'hitter', 'quitter', 'uplifts', 'mind', 'mind', 'bending', 'euphoria', 'materializes', 'body', 'airy', 'relaxation', '98', 'aloha', 'white', 'widow', 'available', 'pua', 'mana', '1st', 'hawaiian', 'pakalōlō', 'bank']"
1024,"['1024', 'sativa', 'uplifted', 'happy', 'relaxed', 'energetic', 'creative', 'spicy', 'herbal', 'sage', 'woody', '1024', 'sativa', 'dominant', 'hybrid', 'spain', 'medical', 'co', 'breeders', 'claim', 'guard', 'secret', 'genetics', 'security', 'reasons', 'regardless', 'genetic', 'heritage', '1024', 'thc', 'powerhouse', 'sweet', 'spicy', 'bouquet', 'subtle', 'fruit', 'mix', 'herbal', 'musk', 'uplifting', 'sativa', 'specific', 'phenotype', 'noted', 'having', 'pungent', 'odor', 'fills', 'room', 'similar', 'burning', 'incense']"
13-Dawgs,"['13', 'dawgs', 'hybrid', 'tingly', 'creative', 'hungry', 'relaxed', 'uplifted', 'apricot', 'citrus', 'grapefruit', '13', 'dawgs', 'hybrid', 'g13', 'chemdawg', 'genetics', 'canadian', 'lp', 'delta', '9', 'biotech', 'potent', 'mix', 'create', 'balance', 'indica', 'sativa', '13', 'dawgs', 'sweet', 'earthy', 'musk', 'brings', 'blend', 'woody', 'citrus', '13', 'dawgs', 'induce', 'happy', 'relaxed', 'body', 'buzz', 'creative', 'focused', 'mind', 'counters', 'depression', 'stimulates', 'appetite']"
24K-Gold,"['24k', 'gold', 'hybrid', 'happy', 'relaxed', 'euphoric', 'uplifted', 'talkative', 'citrus', 'earthy', 'orange', 'known', 'kosher', 'tangie', '24k', 'gold', '60', 'indica', 'dominant', 'hybrid', 'legendary', 'la', 'kosher', 'kush', 'champion', 'sativa', 'tangie', 'create', 'unique', 'growing', 'tall', 'vegetative', 'cycle', 'stretchy', 'flower', 'need', 'experienced', 'hand', 'grown', 'indoors', 'phenotypes', 'exhibit', 'sweet', 'orange', 'aroma', 'tangie', 'dark', 'coloration', 'kosher', 'kush', 'strong', 'citrus', 'smoked', 'vaped', 'thc', 'levels', 'range', '18', '24', 'definitely', 'novice']"
3-Bears-Og,"['3', 'bears', 'og', 'indica', '3', 'bears', 'og', 'mephisto', 'genetics', 'autoflowering', 'cross', 'bear', 'og', 'karma', 'og', 'cut', 'triangle', 'kush', 'indica', 'dominant', 'generates', 'pungent', 'flavorful', 'smaller', 'manageable', 'plant', 'size', 'mephisto', 'genetics', 'describes', '3', 'bears', 'og', 'cornerstone', 'artisanal', 'collection', 'blending', 'best', 'attributes', 'fabled', 'og', 'kush', 'compact', 'controllable', 'growth', 'structure', '3', 'bears', 'og', 'approximate', '70', 'day', 'growth', 'cycle', 'stimulate', 'appetite', 'leading', 'body', 'sleep']"
3-Kings,"['3', 'kings', 'hybrid', 'relaxed', 'euphoric', 'happy', 'uplifted', 'hungry', 'earthy', 'sweet', 'pungent', '3', 'kings', 'marijuana', 'holy', 'trinity', 'headband', 'sour', 'diesel', 'og', 'kush', 'sativa', 'dominant', 'hybrid', 'genetic', 'masterpiece', 'sour', 'tanginess', 'reek', 'sage', 'green', 'frosty', 'coat', 'fair', 'warning', '3', 'kings', 'potency', 'medical', 'patients', 'appreciate', 'versatility', 'medicinal', 'relieves', 'pain', 'stress', 'nausea', 'heavy', 'sedation']"
303-Og,"['303', 'og', 'indica', 'relaxed', 'happy', 'euphoric', 'uplifted', 'giggly', 'citrus', 'pungent', 'earthy', 'indica', 'dominant', '303', 'og', 'colorado', 'crossing', 'pre', '98', 'bubba', 'kush', 'chemdawg', 'parent', 'pass', 'complex', 'profile', 'coffee', 'spice', 'diesel', 'undertones', 'buzz', 'described', 'social', 'creative', 'dreamy', 'experience', 'perfect', 'letting', 'steam', 'end', 'work', 'day', 'happy', 'euphoria', 'induced', '303', 'og', 'help', 'patients', 'treating', 'depression', 'anxiety', 'stress', 'disorders']"
3D-Cbd,"['3d', 'cbd', 'sativa', 'uplifted', 'focused', 'happy', 'talkative', 'relaxed', 'earthy', 'woody', 'flowery', '3d', 'cbd', 'snoop', 'dogg', 'branded', 'line', 'cannabis', 'crafted', 'patients', 'mind', 'thc', 'cbd', 'ratio', '5:8', 'earthy', 'flavored', 'sativa', 'preferred', 'treating', 'pain', 'inflammation', 'muscle', 'tension', 'consumers', 'susceptible', 'thc', 'induced', 'anxiety', 'appreciate', 'sobering', 'relaxing', 'balance', 'cbd']"
3X-Crazy,"['3x', 'crazy', 'indica', 'relaxed', 'tingly', 'happy', 'euphoric', 'uplifted', 'earthy', 'grape', 'sweet', 'known', 'optimus', 'prime', 'indica', 'dominant', '3x', 'crazy', 'way', 'cross', 'og', 'kush', 'bubba', 'kush', 'granddaddy', 'purple', 'aroma', 'comprised', 'sweet', 'grape', 'spicy', 'pepper', 'earthy', 'notes', 'passed', 'bubba', 'kush', 'parent', 'indica', 'leave', 'sedated', 'soothing', 'body', 'brief', 'phase', 'clear', 'headed', 'cerebral', 'psychoactivity', 'relaxing', 'induced', '3x', 'crazy', 'treat', 'variety', 'severe', 'symptoms', 'include', 'pain', 'spasms', 'tension', 'insomnia']"
